,Unnamed: 0,Topic,Traffic participation,Traffic participation.1,Traffic participation.2,Use of public transport,Use of public transport.1,Use of public transport.2
0,,Sex,Total male and female,Male,Female,Total male and female,Male,Female
1,Personal characteristics,Periods,%,%,%,%,%,%
2,Total persons,2018,82.9,83.0,82.9,8.6,8.0,9.2
3,Total persons,2019,81.9,82.6,81.3,8.6,7.9,9.2
4,Total persons,2020,73.8,74.4,73.2,3.9,3.6,4.2
5,Total persons,2021,78.1,77.9,78.4,4.2,3.8,4.7
6,Total persons,2022,79.7,79.8,79.7,6.1,5.6,6.5
7,Age: 6 to 11 years,2018,90.6,90.9,90.1,2.1,2.3,.
8,Age: 6 to 11 years,2019,88.9,89.6,88.3,1.6,.,.
9,Age: 6 to 11 years,2020,80.0,79.8,80.2,.,.,.
10,Age: 6 to 11 years,2021,85.6,84.7,86.6,.,.,.
11,Age: 6 to 11 years,2022,85.2,85.0,85.4,1.6,.,.
12,Age: 12 to 17 years,2018,86.3,85.7,86.9,11.7,10.1,13.3
13,Age: 12 to 17 years,2019,86.4,86.3,86.4,10.7,9.3,12.2
14,Age: 12 to 17 years,2020,73.5,72.1,75.0,6.3,6.2,6.4
15,Age: 12 to 17 years,2021,79.0,77.7,80.3,6.3,5.4,7.1
16,Age: 12 to 17 years,2022,82.9,82.5,83.3,9.2,7.6,11.0
17,Age: 18 to 24 years,2018,86.8,85.6,87.9,23.8,21.1,26.6
18,Age: 18 to 24 years,2019,84.6,83.4,85.8,24.0,20.7,27.4
19,Age: 18 to 24 years,2020,74.6,73.3,75.9,11.9,9.3,14.5
20,Age: 18 to 24 years,2021,78.3,75.6,81.0,14.5,11.9,17.2
21,Age: 18 to 24 years,2022,81.2,79.5,82.9,18.4,16.4,20.4
22,Age: 25 to 34 years,2018,88.6,87.6,89.7,13.4,12.6,14.2
23,Age: 25 to 34 years,2019,86.6,86.7,86.5,13.4,13.8,13.0
24,Age: 25 to 34 years,2020,77.2,76.6,77.9,6.0,5.8,6.1
25,Age: 25 to 34 years,2021,80.3,79.1,81.6,6.5,6.0,7.0
26,Age: 25 to 34 years,2022,81.3,80.2,82.6,9.6,9.0,10.2
27,Age: 35 to 49 years,2018,86.7,86.6,86.8,7.1,6.7,7.6
28,Age: 35 to 49 years,2019,86.7,87.1,86.4,7.5,7.3,7.7
29,Age: 35 to 49 years,2020,78.7,79.0,78.5,3.2,3.2,3.2
30,Age: 35 to 49 years,2021,81.2,80.0,82.4,3.2,3.2,3.2
31,Age: 35 to 49 years,2022,82.7,81.9,83.5,4.8,4.7,4.9
32,Age: 50 to 64 years,2018,83.5,83.0,84.0,6.0,5.9,6.2
33,Age: 50 to 64 years,2019,82.9,82.5,83.2,6.0,5.1,6.9
34,Age: 50 to 64 years,2020,76.8,76.8,76.8,2.5,2.4,2.5
35,Age: 50 to 64 years,2021,80.7,80.3,81.1,2.4,2.3,2.6
36,Age: 50 to 64 years,2022,81.6,81.4,81.8,3.8,3.5,4.1
37,Age: 65 to 74 years,2018,74.9,74.4,75.4,4.2,3.4,5.0
38,Age: 65 to 74 years,2019,73.5,74.5,72.4,4.2,2.9,5.4
39,Age: 65 to 74 years,2020,67.8,69.7,66.0,1.6,.,2.2
40,Age: 65 to 74 years,2021,74.3,75.1,73.5,1.8,1.6,2.0
41,Age: 65 to 74 years,2022,76.7,77.6,75.7,2.2,1.9,2.5
42,Age: 75 years or older,2018,59.8,63.1,57.3,3.2,3.3,3.2
43,Age: 75 years or older,2019,59.4,63.9,56.0,2.9,3.1,2.8
44,Age: 75 years or older,2020,51.6,56.4,47.7,1.1,.,.
45,Age: 75 years or older,2021,59.7,64.6,55.9,1.2,.,1.5
46,Age: 75 years or older,2022,62.6,67.0,59.1,1.8,1.4,2.1
47,Equivalised income: 1st 20%-group,2018,77.1,78.1,76.3,12.5,11.4,13.4
48,Equivalised income: 1st 20%-group,2019,74.1,74.2,74.0,12.1,10.5,13.6
49,Equivalised income: 1st 20%-group,2020,62.8,64.2,61.5,5.6,4.9,6.3
50,Equivalised income: 1st 20%-group,2021,70.0,69.9,70.0,7.0,6.1,7.8
51,Equivalised income: 1st 20%-group,2022,72.6,72.6,72.7,9.5,9.4,9.6
52,Equivalised income: 2nd 20%-group,2018,76.6,77.7,75.7,7.4,7.4,7.3
53,Equivalised income: 2nd 20%-group,2019,76.3,77.8,75.0,7.2,7.1,7.3
54,Equivalised income: 2nd 20%-group,2020,67.1,69.2,65.2,3.5,3.1,3.9
55,Equivalised income: 2nd 20%-group,2021,73.3,74.6,72.1,4.3,3.9,4.7
56,Equivalised income: 2nd 20%-group,2022,75.8,77.4,74.4,5.6,4.5,6.5
57,Equivalised income: 3rd 20%-group,2018,85.3,84.8,85.7,7.7,7.0,8.4
58,Equivalised income: 3rd 20%-group,2019,83.7,84.7,82.8,8.1,7.9,8.3
59,Equivalised income: 3rd 20%-group,2020,75.9,75.7,76.1,3.8,3.5,4.1
60,Equivalised income: 3rd 20%-group,2021,80.0,79.8,80.2,3.8,3.3,4.3
61,Equivalised income: 3rd 20%-group,2022,81.8,82.1,81.4,5.0,4.4,5.6
62,Equivalised income: 4th 20%-group,2018,86.8,86.1,87.5,7.5,6.9,8.1
63,Equivalised income: 4th 20%-group,2019,86.3,86.2,86.5,8.1,7.5,8.7
64,Equivalised income: 4th 20%-group,2020,79.5,79.4,79.6,3.3,3.2,3.5
65,Equivalised income: 4th 20%-group,2021,82.6,81.8,83.5,3.3,3.2,3.4
66,Equivalised income: 4th 20%-group,2022,83.8,83.3,84.4,5.3,4.9,5.7
67,Equivalised income: 5th 20%-group,2018,86.6,85.8,87.6,8.1,7.5,8.9
68,Equivalised income: 5th 20%-group,2019,86.3,86.4,86.3,7.6,6.7,8.6
69,Equivalised income: 5th 20%-group,2020,80.0,79.4,80.7,3.4,3.2,3.6
70,Equivalised income: 5th 20%-group,2021,81.7,80.0,83.7,3.1,2.9,3.3
71,Equivalised income: 5th 20%-group,2022,82.8,81.6,84.1,5.0,4.8,5.2
72,Students with week pass publ. transp.,2018,88.7,88.1,89.2,40.7,39.0,42.3
73,Students with week pass publ. transp.,2019,86.7,84.6,88.5,41.1,36.8,44.9
74,Students with week pass publ. transp.,2020,73.5,72.9,74.1,18.6,16.1,20.8
75,Students with week pass publ. transp.,2021,79.6,76.2,82.5,23.7,20.7,26.3
76,Students with week pass publ. transp.,2022,83.8,81.3,85.9,30.2,28.4,31.7
77,Students with weekend pass publ. transp.,2018,94.1,90.1,97.6,17.2,.,.
78,Students with weekend pass publ. transp.,2019,89.0,89.0,88.9,19.4,.,.
79,Students with weekend pass publ. transp.,2020,81.8,78.9,84.4,.,.,.
80,Students with weekend pass publ. transp.,2021,82.4,81.0,83.8,16.1,.,.
81,Students with weekend pass publ. transp.,2022,88.7,82.3,94.4,19.2,.,.
82,Persons without student publ.transp.card,2018,82.6,82.8,82.5,7.1,6.6,7.6
83,Persons without student publ.transp.card,2019,81.7,82.5,80.9,7.0,6.7,7.4
84,Persons without student publ.transp.card,2020,73.8,74.4,73.2,3.2,3.0,3.4
85,Persons without student publ.transp.card,2021,78.0,78.0,78.1,3.2,3.0,3.5
86,Persons without student publ.transp.card,2022,79.5,79.8,79.3,4.8,4.5,5.2
87,Level of educ: 1. Low,2018,73.6,75.8,71.8,5.9,5.7,6.1
88,Level of educ: 1. Low,2019,72.0,74.6,69.9,5.5,4.9,5.9
89,Level of educ: 1. Low,2020,63.7,67.8,60.4,2.9,2.7,3.1
90,Level of educ: 1. Low,2021,70.5,73.4,68.0,3.2,3.1,3.3
91,Level of educ: 1. Low,2022,72.8,76.1,69.9,4.5,4.3,4.6
92,Level of educ: 2 Intermediate,2018,86.0,85.2,86.8,9.5,8.5,10.6
93,Level of educ: 2 Intermediate,2019,85.2,85.3,85.2,9.3,8.6,10.0
94,Level of educ: 2 Intermediate,2020,77.1,77.6,76.5,4.3,3.8,4.9
95,Level of educ: 2 Intermediate,2021,80.6,79.6,81.6,5.3,4.5,6.2
96,Level of educ: 2 Intermediate,2022,82.3,82.1,82.6,6.8,6.0,7.6
97,Level of educ: 3 High,2018,87.2,85.5,88.9,11.3,10.4,12.2
98,Level of educ: 3 High,2019,86.5,85.6,87.3,11.8,10.6,13.0
99,Level of educ: 3 High,2020,79.2,77.3,81.2,4.8,4.2,5.3
100,Level of educ: 3 High,2021,81.4,79.4,83.3,4.6,4.3,4.9
101,Level of educ: 3 High,2022,82.5,80.5,84.6,7.1,6.5,7.7
102,Participation: working 12 -29 h. a week,2018,89.6,83.0,91.3,7.8,10.2,7.3
103,Participation: working 12 -29 h. a week,2019,87.8,83.0,89.0,8.4,12.9,7.2
104,Participation: working 12 -29 h. a week,2020,82.7,77.2,84.1,3.9,5.4,3.5
105,Participation: working 12 -29 h. a week,2021,86.4,82.2,87.5,4.6,7.4,3.9
106,Participation: working 12 -29 h. a week,2022,86.8,83.8,87.5,6.4,9.5,5.6
107,Participation: working >30 hours a week,2018,89.0,88.6,90.0,9.6,8.1,12.8
108,Participation: working >30 hours a week,2019,88.7,88.4,89.3,9.9,8.3,13.4
109,Participation: working >30 hours a week,2020,80.5,80.1,81.5,4.3,3.5,5.9
110,Participation: working >30 hours a week,2021,82.8,82.0,84.3,4.0,3.4,5.0
111,Participation: working >30 hours a week,2022,83.6,83.3,84.1,6.3,5.2,8.4
112,Participatie:student/scholier,2018,87.2,86.8,87.6,13.9,12.6,15.1
113,Participatie:student/scholier,2019,86.4,86.3,86.4,13.0,11.2,14.7
114,Participatie:student/scholier,2020,74.9,74.5,75.3,6.7,6.1,7.4
115,Participatie:student/scholier,2021,80.0,78.6,81.6,7.9,6.5,9.3
116,Participatie:student/scholier,2022,82.5,81.4,83.7,10.7,9.3,12.1
117,Participation: unemployed,2018,75.2,72.3,78.5,6.6,.,.
118,Participation: unemployed,2019,71.2,65.1,76.6,6.6,.,.
119,Participation: unemployed,2020,66.1,64.1,68.1,.,.,.
120,Participation: unemployed,2021,66.4,68.4,64.0,5.0,.,.
121,Participation: unemployed,2022,66.3,70.4,62.0,6.2,.,.
122,Particip.: claiming disability benefit,2018,71.1,67.8,74.0,4.8,.,.
123,Particip.: claiming disability benefit,2019,67.8,66.1,69.3,5.6,.,.
124,Particip.: claiming disability benefit,2020,58.3,58.8,57.9,.,.,.
125,Particip.: claiming disability benefit,2021,67.1,65.3,68.6,.,.,.
126,Particip.: claiming disability benefit,2022,70.3,68.2,72.2,3.6,.,.
127,Participation: retired,2018,69.8,70.4,69.1,3.8,3.4,4.3
128,Participation: retired,2019,69.0,70.4,67.7,3.7,3.0,4.4
129,Participation: retired,2020,62.7,64.9,60.4,1.4,1.0,1.9
130,Participation: retired,2021,69.6,71.1,68.0,1.5,1.2,1.9
131,Participation: retired,2022,71.6,73.3,70.0,2.0,1.6,2.4
132,"Participation: unemployed, other",2018,73.2,73.4,73.1,5.4,6.3,5.1
133,"Participation: unemployed, other",2019,71.0,72.2,70.6,5.0,6.4,4.5
134,"Participation: unemployed, other",2020,62.1,64.4,61.4,2.1,.,1.9
135,"Participation: unemployed, other",2021,67.8,67.7,67.8,2.9,.,2.8
136,"Participation: unemployed, other",2022,70.1,70.0,70.1,3.8,5.4,3.3
137,Source: CBS,,,,,,,
138,,Sex,Total male and female,Male,Female,Total male and female,Male,Female
139,Personal characteristics,Periods,%,%,%,%,%,%
140,Total persons,2010,"79,8","80,2","79,4","6,8","6,1","7,4"
141,Total persons,2011,"79,9","80,2","79,6","7,1","6,7","7,6"
142,Total persons,2012,"79,6","79,9","79,2","6,7","6,4",7
143,Total persons,2013,"79,8",80,"79,5",7,"6,5","7,5"
144,Total persons,2014,"80,2","80,8","79,7","6,7","6,3","7,1"
145,Total persons,2015,"79,2","79,5","78,9","6,9","6,2","7,6"
146,Total persons,2016,79,"79,3","78,6","6,8","6,4","7,2"
147,Total persons,2017,"78,4","78,9","77,8",7,"6,7","7,3"
148,Level of educ: 1. Low,2010,"73,1","75,5","71,3","5,7","4,9","6,4"
149,Level of educ: 1. Low,2011,"72,4","74,3","70,9","5,8","5,1","6,3"
150,Level of educ: 1. Low,2012,"72,9","75,3","71,1","5,6","5,3","5,8"
151,Level of educ: 1. Low,2013,"73,4","75,4","71,8","6,1","5,7","6,3"
152,Level of educ: 1. Low,2014,"73,4","75,3","71,8",6,"5,5","6,4"
153,Level of educ: 1. Low,2015,"72,2","74,6","70,3","5,8","5,6","5,9"
154,Level of educ: 1. Low,2016,71,"73,9","68,5","5,6","5,3","5,9"
155,Level of educ: 1. Low,2017,"70,1","73,3","67,6","5,2","5,3","5,1"
156,Level of educ: 2 Intermediate,2010,"81,5","80,8","82,2","8,2","7,4","9,1"
157,Level of educ: 2 Intermediate,2011,"81,7","81,3","82,2","8,9","8,6","9,1"
158,Level of educ: 2 Intermediate,2012,"80,9","79,9",82,"8,1","7,6","8,6"
159,Level of educ: 2 Intermediate,2013,"80,8","80,2","81,3","8,8","8,1","9,6"
160,Level of educ: 2 Intermediate,2014,"81,4",81,"81,7","8,2","7,3","9,1"
161,Level of educ: 2 Intermediate,2015,"80,6","79,8","81,4","8,7","7,5",10
162,Level of educ: 2 Intermediate,2016,"79,9","79,1","80,8","7,8","7,1","8,5"
163,Level of educ: 2 Intermediate,2017,"79,6","79,4","79,7","8,3",8,"8,7"
164,Level of educ: 3 High,2010,"84,5","83,7","85,4",9,8,"10,2"
165,Level of educ: 3 High,2011,84,83,"85,2","9,7","8,6",11
166,Level of educ: 3 High,2012,"83,7","82,7","84,8","9,1","8,7","9,5"
167,Level of educ: 3 High,2013,"83,3","82,6","84,2","9,1","8,5","9,8"
168,Level of educ: 3 High,2014,"83,6","83,4","83,9","8,4","8,2","8,7"
169,Level of educ: 3 High,2015,"82,8","81,8","83,9","8,7","7,7","9,7"
170,Level of educ: 3 High,2016,"83,3",82,"84,7","9,4","8,8",10
171,Level of educ: 3 High,2017,"82,7","81,3","84,2","9,7","8,8","10,5"
172,Migratieachtergrond: Nederland,2010,"80,6","80,8","80,5","5,5","5,1",6
173,Migratieachtergrond: Nederland,2011,"80,4","80,4","80,4","5,8","5,5","6,1"
174,Migratieachtergrond: Nederland,2012,"80,5","80,4","80,6","5,6","5,6","5,7"
175,Migratieachtergrond: Nederland,2013,"80,3","80,5","80,1","5,8","5,6",6
176,Migratieachtergrond: Nederland,2014,81,"81,2","80,8","5,5","5,2","5,7"
177,Migratieachtergrond: Nederland,2015,"79,9","79,9",80,"5,7","5,4","6,1"
178,Migratieachtergrond: Nederland,2016,"79,9",80,"79,8","5,6","5,4","5,7"
179,Migratieachtergrond: Nederland,2017,"79,4","79,7",79,"5,9","5,9","5,9"
180,Level of educ: 3 High,2010,"77,6","78,7","76,5","8,3","7,7","8,9"
181,Level of educ: 3 High,2011,"77,1","77,6","76,7","8,5","8,1","8,9"
182,Level of educ: 3 High,2012,"76,3","77,7","75,1","7,2","6,6","7,8"
183,Level of educ: 3 High,2013,"77,7","77,9","77,5",8,"7,6","8,3"
184,Level of educ: 3 High,2014,"77,5","79,2","75,9","8,8","8,3","9,3"
185,Level of educ: 3 High,2015,77,"77,9","76,2","7,5","6,3","8,7"
186,Level of educ: 3 High,2016,"75,8",76,"75,6","7,9","7,1","8,6"
187,Level of educ: 3 High,2017,"75,8","76,3","75,3","7,8","7,5",8
188,Level of educ: 3 High,2010,"75,7","77,4","74,1","14,5","12,5","16,5"
189,Level of educ: 3 High,2011,79,"80,6","77,3","15,6","14,1","17,2"
190,Level of educ: 3 High,2012,"75,5",78,"73,1","13,5","11,8","15,2"
191,Level of educ: 3 High,2013,78,"78,7","77,3","14,6","11,6","17,6"
192,Level of educ: 3 High,2014,"77,5","79,6","75,4","13,3",12,"14,6"
193,Level of educ: 3 High,2015,"76,5","78,6","74,4","14,1","11,6","16,6"
194,Level of educ: 3 High,2016,76,"77,9","74,1","13,8","11,9","15,7"
195,Level of educ: 3 High,2017,"74,3",76,"72,5",13,"11,1","14,9"
196,Hoogte inkomen: tot 10 000 euro,2010,"79,2","79,9","78,5","14,4","12,8",16
197,Hoogte inkomen: tot 10 000 euro,2011,"80,4","78,9","81,8","15,7","15,5","15,8"
198,Hoogte inkomen: tot 10 000 euro,2012,"79,2","75,5","82,8","14,5","13,7","15,3"
199,Hoogte inkomen: tot 10 000 euro,2013,"79,9","78,8",81,"16,3","14,2","18,5"
200,Hoogte inkomen: tot 10 000 euro,2014,"79,9","78,5","81,4","13,7","13,1","14,3"
201,Hoogte inkomen: tot 10 000 euro,2015,"80,5",79,"81,9","15,4","12,8","17,9"
202,Hoogte inkomen: tot 10 000 euro,2016,"79,7",79,"80,4","15,1",14,"16,3"
203,Hoogte inkomen: tot 10 000 euro,2017,"82,7","81,5","83,8","19,8",20,"19,6"
204,Hoogte inkomen: 10 000 tot 20 000 euro,2010,76,"77,3","74,8","6,7","5,8","7,5"
205,Hoogte inkomen: 10 000 tot 20 000 euro,2011,"76,5","78,1",75,"6,8","6,2","7,3"
206,Hoogte inkomen: 10 000 tot 20 000 euro,2012,"76,2","77,4","75,1","6,7",7,"6,6"
207,Hoogte inkomen: 10 000 tot 20 000 euro,2013,"76,8","77,1","76,7","6,8","6,2","7,3"
208,Hoogte inkomen: 10 000 tot 20 000 euro,2014,"76,2","77,1","75,4","6,3","5,7","6,9"
209,Hoogte inkomen: 10 000 tot 20 000 euro,2015,"74,7","76,7",73,7,"6,1","7,8"
210,Hoogte inkomen: 10 000 tot 20 000 euro,2016,"73,7","75,9","71,9","7,4","6,4","8,2"
211,Hoogte inkomen: 10 000 tot 20 000 euro,2017,"71,8","73,3","70,4","7,4","7,1","7,7"
212,Hoogte inkomen: 20 000 tot 30 000 euro,2010,"82,1","82,2","82,1","6,2","5,8","6,6"
213,Hoogte inkomen: 20 000 tot 30 000 euro,2011,"81,6","81,1","82,1","6,4","6,1","6,8"
214,Hoogte inkomen: 20 000 tot 30 000 euro,2012,"81,2","81,3","81,1","6,1","5,7","6,4"
215,Hoogte inkomen: 20 000 tot 30 000 euro,2013,81,"81,8","80,3","6,1","5,5","6,6"
216,Hoogte inkomen: 20 000 tot 30 000 euro,2014,"82,1","82,1","82,1","6,1","5,7","6,6"
217,Hoogte inkomen: 20 000 tot 30 000 euro,2015,"81,1","80,7","81,6","5,9","5,3","6,5"
218,Hoogte inkomen: 20 000 tot 30 000 euro,2016,"79,9",80,"79,7","5,7","5,3",6
219,Hoogte inkomen: 20 000 tot 30 000 euro,2017,"79,3","80,4","78,2",6,"5,6","6,5"
220,Hoogte inkomen: 30 000 tot 40 000 euro,2010,"82,7",82,"83,6","6,6",6,"7,3"
221,Hoogte inkomen: 30 000 tot 40 000 euro,2011,"82,7","82,4",83,"7,4",7,"7,8"
222,Hoogte inkomen: 30 000 tot 40 000 euro,2012,"83,1",83,"83,2","6,1","5,2","7,1"
223,Hoogte inkomen: 30 000 tot 40 000 euro,2013,"82,8","82,1","83,5","7,1","6,9","7,3"
224,Hoogte inkomen: 30 000 tot 40 000 euro,2014,84,"84,8","83,2","6,6","6,5","6,7"
225,Hoogte inkomen: 30 000 tot 40 000 euro,2015,"82,8","81,8","83,9","6,8","6,7","6,9"
226,Hoogte inkomen: 30 000 tot 40 000 euro,2016,"82,5","81,5","83,7","6,1","5,8","6,4"
227,Hoogte inkomen: 30 000 tot 40 000 euro,2017,"81,3",81,"81,6","6,2","6,1","6,3"
228,Hoogte inkomen: 40 000 tot 50 000 euro,2010,81,"79,8","82,4",6,"5,2","6,9"
229,Hoogte inkomen: 40 000 tot 50 000 euro,2011,"83,8","81,4","86,5",7,"5,7","8,5"
230,Hoogte inkomen: 40 000 tot 50 000 euro,2012,"81,9","82,7","80,9","6,5","6,5","6,4"
231,Hoogte inkomen: 40 000 tot 50 000 euro,2013,"82,1","82,1","82,1","7,7","6,8","8,6"
232,Hoogte inkomen: 40 000 tot 50 000 euro,2014,"82,7","82,8","82,5","6,3","5,7",7
233,Hoogte inkomen: 40 000 tot 50 000 euro,2015,"80,8",80,"81,8","6,5","5,7","7,5"
234,Hoogte inkomen: 40 000 tot 50 000 euro,2016,83,82,"84,2","7,6","8,2",7
235,Hoogte inkomen: 40 000 tot 50 000 euro,2017,"82,4","81,7","83,1","7,2","7,4","7,1"
236,Hoogte inkomen: 50 000 euro of meer,2010,"81,6","80,5","82,9","5,1","5,4","4,8"
237,Hoogte inkomen: 50 000 euro of meer,2011,"81,2","80,1","82,5","5,2","5,1","5,2"
238,Hoogte inkomen: 50 000 euro of meer,2012,"79,8","78,9","80,8","4,8","4,9","4,8"
239,Hoogte inkomen: 50 000 euro of meer,2013,"81,5","79,4","83,5","4,9",5,"4,9"
